Comment,Designator,Footprint,LCSC,Quantity
RC0805JR-070RL,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
GRM21BR61C106KE15K,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
CL21B104KBCNNNC,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
CL21B105KAFNNNE,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
ERA-6AEB114V,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MSS1P3L-M3/89A,D1,D_MicroSMP_AK_MSS1P3L-M3_89A,,1
GRM21BR61H475KE51L,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GRM21BR61H475KE51L,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RT0805BRD0710K7L,R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
865080642006,C6,865081000000,,1
SMAJ26A-13-F,D2,D_SMAJ26A-13-F,,1
CL21B105KAFNNNE,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GRM21BR61H475KE51L,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
113991054,U1,XIAO-ESP32C3-SMD,,1
CL21B104KBCNNNC,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
150080GS75000,D4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
ERJ-P06J112V,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
PH1RA-03-UA,J4,PinHeader_1x03_P2.54mm_Horizontal,,1
150080GS75000,D5,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
STPS2H100ZF,D6,D_SOD-123F_STPS2H100ZF,,1
GRM21BR61H475KE51L,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
LM317MDCYR,U4,SOT-223-3_TabPin2_LM317MDCYR,,1
XT30PW-M,J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,,1
RC0805FR-0790R9L,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
RT0805BRD071K3L,R18,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
GRM21BR61C106KE15K,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RC0805JR-070RL,R21,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
DMN3731U-7,Q1,SOT-23-3_DMN3731U-7,,1
ERJ-P06J112V,R20,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
LMR51420YDDCR,U3,SOT-23-6_LMR51420YDDCR,,1
GRM21BR61C106KE15K,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
CL21B104KBCNNNC,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
DMN3731U-7,Q2,SOT-23-3_DMN3731U-7,,1
RT0805BRD0715KL,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
GRM21BR61C106KE15K,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RC0805JR-070RL,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
ACM4520-421-2P-T000,FL1,L_CommonModeChoke_TDK_ACM4520-421-2P-T000,,1
CL21B104KBCNNNC,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RC0805JR-070RL,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
SM05B-GHS-TB,J2,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,,1
NRS5030T4R7MMGJV,L1,L_Taiyo-Yuden_NRS5030T4R7MMGJV,,1
RMCF0805JT4K70,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1985807,J3,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P3.50mm_Horizontal_1985807",,1
RMCF0805JT4K70,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
150080GS75000,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
RC0805JR-070RL,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
CL21B104KBCNNNC,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
SN74LVC2G17DBVR,U2,SOT-23-6,,1
CL21B104KBCNNNC,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
PH1RA-03-UA,J5,PinHeader_1x03_P2.54mm_Horizontal,,1